zip,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,all_county_weights,imprecise,military,timezone
79556,32.45432,-100.36402,Sweetwater,TX,Texas,TRUE,,12995,16.5,48353,Nolan,"{'48151':2.76,'48353':97.24}",FALSE,FALSE,America/Chicago
79560,32.67888,-100.20888,Sylvester,TX,Texas,TRUE,,137,0.7,48151,Fisher,"{'48151':87.59,'48253':12.41}",FALSE,FALSE,America/Chicago
79561,32.52132,-100.20042,Trent,TX,Texas,TRUE,,662,2,48441,Taylor,"{'48151':7.55,'48353':15.26,'48441':77.19}",FALSE,FALSE,America/Chicago
79562,32.24438,-99.86598,Tuscola,TX,Texas,TRUE,,3669,12.2,48441,Taylor,{'48441':100},FALSE,FALSE,America/Chicago
79563,32.42317,-99.90768,Tye,TX,Texas,TRUE,,1161,27.4,48441,Taylor,{'48441':100},FALSE,FALSE,America/Chicago
79565,32.39462,-101.09317,Westbrook,TX,Texas,TRUE,,295,1.3,48335,Mitchell,{'48335':100},FALSE,FALSE,America/Chicago
79566,32.11347,-100.12203,Wingate,TX,Texas,TRUE,,333,0.8,48441,Taylor,"{'48399':48.95,'48441':51.05}",FALSE,FALSE,America/Chicago
79567,31.97769,-99.95308,Winters,TX,Texas,TRUE,,3373,4.1,48399,Runnels,"{'48399':98.07,'48441':1.93}",FALSE,FALSE,America/Chicago
79601,32.57965,-99.6635,Abilene,TX,Texas,TRUE,,25085,38.9,48441,Taylor,"{'48059':1.41,'48253':26.66,'48417':1.39,'48441':70.54}",FALSE,FALSE,America/Chicago
79602,32.33948,-99.66982,Abilene,TX,Texas,TRUE,,21519,72.4,48441,Taylor,"{'48059':1.93,'48441':98.07}",FALSE,FALSE,America/Chicago
79603,32.40153,-99.88473,Abilene,TX,Texas,TRUE,,24288,160.5,48441,Taylor,{'48441':100},FALSE,FALSE,America/Chicago
79605,32.43398,-99.78205,Abilene,TX,Texas,TRUE,,30098,1060.4,48441,Taylor,{'48441':100},FALSE,FALSE,America/Chicago
79606,32.36095,-99.82696,Abilene,TX,Texas,TRUE,,22885,141.4,48441,Taylor,{'48441':100},FALSE,FALSE,America/Chicago
79607,32.42853,-99.82546,Dyess Afb,TX,Texas,TRUE,,2865,291.6,48441,Taylor,{'48441':100},FALSE,FALSE,America/Chicago
79699,32.46227,-99.71591,Abilene,TX,Texas,TRUE,,321,1301.2,48441,Taylor,{'48441':100},FALSE,FALSE,America/Chicago
79701,31.99237,-102.08147,Midland,TX,Texas,TRUE,,27728,900.5,48329,Midland,{'48329':100},FALSE,FALSE,America/Chicago
79703,31.97945,-102.13231,Midland,TX,Texas,TRUE,,20592,1187.6,48329,Midland,{'48329':100},FALSE,FALSE,America/Chicago
79705,32.05114,-102.05955,Midland,TX,Texas,TRUE,,33536,365,48329,Midland,{'48329':100},FALSE,FALSE,America/Chicago
79706,31.84553,-102.00235,Midland,TX,Texas,TRUE,,19571,10.2,48329,Midland,{'48329':100},FALSE,FALSE,America/Chicago
79707,32.03347,-102.21158,Midland,TX,Texas,TRUE,,32854,179.1,48329,Midland,{'48329':100},FALSE,FALSE,America/Chicago
79713,32.49638,-101.7556,Ackerly,TX,Texas,TRUE,,592,1.4,48227,Howard,"{'48033':2.53,'48115':39.36,'48227':7.94,'48317':50.17}",FALSE,FALSE,America/Chicago
79714,32.32942,-102.69917,Andrews,TX,Texas,TRUE,,14786,7.4,48003,Andrews,{'48003':100},FALSE,FALSE,America/Chicago
79718,31.00534,-103.76187,Balmorhea,TX,Texas,TRUE,,721,0.9,48389,Reeves,{'48389':100},FALSE,FALSE,America/Chicago
79719,31.46009,-103.4056,Barstow,TX,Texas,TRUE,,397,8,48475,Ward,{'48475':100},FALSE,FALSE,America/Chicago
79720,32.25364,-101.47291,Big Spring,TX,Texas,TRUE,,33640,14.3,48227,Howard,"{'48033':0.14,'48173':0.72,'48227':99.15}",FALSE,FALSE,America/Chicago
79730,31.16955,-103.0851,Coyanosa,TX,Texas,TRUE,,250,0.7,48371,Pecos,{'48371':100},FALSE,FALSE,America/Chicago
